subtech,variable,component,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
TGR-BOF-POST (w/ 41% CC),Input|Iron Ore,#,Output|Steel Liquid,2013,1.35,,t,1.086,t,"Given per ton of hot rolled coil. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. Includes fines, lumps and pellets. Case 3, uses a MDEA solvent.",IEA-GHG13,"Vol. 3, Table D-9"
BF-BOF-POST (w/ 60% CC),Input|Iron Ore,#,Output|Steel Liquid,2013,1.36,,t,1.086,t,"Annex 3, cost breakdown (OPEX) for EOP-L2 case (60% capture), uses a MEA solvent. All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. Adds up any demand of fines, ore and pellets. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2.",IEA-GHG13,"Vol. 2, Annex 3"
BF-BOF-POST (w/ 60% CC),Input|Fossil Gas,Power plant,Output|Steel Liquid,2013,3.93,,GJ,1.086,t,"Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Volume 2, table C-6 for EOP-L2 case (60% capture, uses a MEA solvent). Breakdown given in the table below",IEA-GHG13,"Vol. 2, Table C-6"
BF-BOF-POST (w/ 60% CC),Input|Fossil Gas,Steam production,Output|Steel Liquid,2013,1.59,,GJ,1.086,t,"Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Volume 2, table C-6 for EOP-L2 case (60% capture, uses a MEA solvent). Breakdown given in the table below",IEA-GHG13,"Vol. 2, Table C-6"
TGR-BOF-POST (w/ 41% CC),Input|Fossil Gas,Hot metal production,Output|Steel Liquid,2013,745,,MJ,1.086,t,"Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Table on NG use breakdown. Case 3, uses a MDEA solvent.",IEA-GHG13,"Vol. 3, Table C-12"
TGR-BOF-POST (w/ 41% CC),Input|Fossil Gas,Power plant,Output|Steel Liquid,2013,3647,,MJ,1.086,t,"Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Table on NG use breakdown. Case 3, uses a MDEA solvent.",IEA-GHG13,"Vol. 3, Table C-12"
TGR-BOF-POST (w/ 41% CC),Input|Fossil Gas,Steam production,Output|Steel Liquid,2013,653,,MJ,1.086,t,"Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Table on NG use breakdown. Case 3, uses a MDEA solvent.",IEA-GHG13,"Vol. 3, Table C-12"
BF-BOF-POST (w/ 60% CC),Input|Water,#,Output|Steel Liquid,2013,87.3,,t,1.086,t,"Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Given per ton of CO2 captured. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 2, Table C-2"
BF-BOF-POST (w/ 60% CC),Lifetime,#,,2013,25.0,,a,,,"Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 2, Annex 4"
TGR-BOF-POST (w/ 41% CC),Lifetime,#,,2013,25.0,,a,,,"Case 3, uses a MDEA solvent. Includes casting and rolling",IEA-GHG13,
BF-BOF-POST (w/ 60% CC),Emissions|CO2,#,Output|Steel Liquid,2013,831.42,,kg,1.086,t,"Emissions include steam production using ng (cf. Figure D-5). Given per ton of hot rolled coil. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 2, Table C-7"
BF-BOF-POST (w/ 60% CC),Emissions|CO2 captured,#,Output|Steel Liquid,2013,1532.8,,kg,1.086,t,"Given per ton of hot rolled coil. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 2, Table C-7"
TGR-BOF-POST (w/ 41% CC),Emissions|CO2,#,Output|Steel Liquid,2013,1118.75,,kg,1.086,t,"Emissions include steam production using ng (cf. Figure D-5). Given per ton of hot rolled coil. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Case 3, uses a MDEA solvent",IEA-GHG13,"Vol. 3, Table C-17"
TGR-BOF-POST (w/ 41% CC),Emissions|CO2 captured,#,Output|Steel Liquid,2013,859.8,,kg,1.086,t,"Emissions include steam production using ng (cf. Figure D-5). Given per ton of hot rolled coil. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Case 3, uses a MDEA solvent",IEA-GHG13,"Vol. 3, Table C-17"
