mode,variable,period,component,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,source,source_detail
h2,Demand|elec,,,102.5,22.5,kWh,1.0,t,,Rechenberger20,Section 4.2.1
h2,Demand|elec,,,151444.7,,MWh,1744694.39,t,,Jacobasch21,"Page 6, Table 2"
ng,Demand|ng,,,9.7,,GJ,1.0,t,,Holling17,Page 7
ng,Demand|ng,,,390692.0,,t,1905400.0,t,,Jacobasch21,"Page 6, Table 2"
ng,Demand|elec,,,0.08,,MWh,1.0,t,,Holling17,Page 7
ng,Demand|elec,,,149027.78,,MWh,1905400.0,,,Jacobasch21,"Page 6, Table 2"
,Demand|ironore,,,1.5,,t,1.1,t,"This source states 1.5 tonnes of iron ore per tonne of semi-finished steel, and 1.1 tonnes of HBI per tonne of semi-finished steel, hence resulting in 1.5×0.909 tonnes of iron ore per tonne of HBI.",Devlin22,Chapter 2.2.2
,Demand|ironore,,,1.66,,t,1.03,t,This source states 1.66 t of iron ore per 1.03 tonnes of iron sponge.,Otto17,"Chapter 5.4, Figure 6"
,Demand|ironore,,,1.391,,t,1.0,t,,Rechenberger20,"Section 3, Table 1"
,Demand|ironore,,,1.504,,t,1.1,t,This source reports its values per tonne of steel. We assume 1.08 tonnes of HBI used per tonne of steel (calculated from 95% Fe2O3 in 1.504 tonnes of iron ore) and divide by that factor.,Vogl18,Section 3
h2,Demand|ironore,,,2590520.0,,t,1744694.39,t,,Jacobasch21,"Page 6, Table 2"
ng,Demand|ironore,,,2434400.0,,t,1905400.0,t,,Jacobasch21,"Page 6, Table 2"
ng,Demand|oxygen,,,163000.0,,t,1905400.0,t,,,
